,0_SD7449_H041_pH7,1_SD7450_H042_pH7,2_SD7451_H043_pH7,3_SD7452_H044_pH7,4_SD7453_H045_pH7,5_SD7454_H046_pH7,6_SD7455_H048_pH7,7_SD7456_H049_pH7,8_SD7458_H051_pH7,9_SD7460_H053_pH7,10_SD7461_H054_pH7,11_SD7462_H055_pH7,12_SD7463_H056_pH7,13_SD7464_H057_pH7,14_SD7465_H058_pH7,16_SD7467_H061_pH6.5,17_SD7468_H062_pH6.5,18_SD7469_H063_pH6.5,19_SD7470_H065_pH6.5,20_SD7471_H067_pH6.5,21_SD7472_H068_pH6.5,22_SD7473_H069_pH6.5,23_SD7474_H070_pH6.5,24_SD7475_H071_pH6.5,25_SD7476_H072_pH6.5,26_SD7477_H073_pH6.5,27_SD7478_H074_pH6.5,28_SD7479_H075_pH6.5,29_SD7480_H076_pH6.5,30_SD7481_H077_pH6.5,31_SD7482_H078_pH6.5,32_SD7483_H079_pH6.5,33_SD7484_H080_pH6.5,34_SD7485_H081_pH6,36_SD7487_H085_pH6,37_SD7488_H086_pH6,38_SD7489_H087_pH6,39_SD7490_H089_pH6,40_SD7491_H090_pH6,41_SD7492_H091_pH6,42_SD7493_H092_pH6,43_SD7494_H093_pH6,44_SD7495_H094_pH6,45_SD7496_H095_pH6,46_SD7497_H096_pH6,47_SD7498_H097_pH6,48_SD7499_H098_pH6,49_SD7500_H099_pH6,50_SD7501_H100_pH6,51_SD7502_H101_pH5.5,52_SD7503_H102_pH5.5,53_SD7504_H103_pH5.5,54_SD7505_H104_pH5.5,55_SD7506_H105_pH5.5,56_SD7507_H106_pH5.5,57_SD7508_H107_pH5.5,58_SD7509_H109_pH5.5,59_SD7510_H110_pH5.5,60_SD7511_H111_pH5.5,61_SD7512_H113_pH5.5,62_SD7513_H114_pH5.5,63_SD7514_H115_pH5.5,64_SD7515_H116_pH5.5,65_SD7516_H117_pH5.5,66_SD7517_H119_pH5.5,67_SD7518_H120_pH5.5,68_SD7519_S121,69_SD7520_S122,70_SD7521_S123,71_SD7522_S124,72_SD7523_S125,73_SD7524_S126,74_SD7525_S127,75_SD7526_S128,76_SD7527_S129,77_SD7528_S130,78_SD7529_S131,79_SD7530_S132,80_SD7531_S133,81_SD7532_S134,82_SD7533_S135,83_SD7534_S136,84_SD7535_S137,85_SD7536_S138,86_SD7537_S139,87_SD7538_S140,88_SD7539_S141,89_SD7540_S142,90_SD7541_S143,91_SD7542_S144,93_SD7544_S146,94_SD7545_S147,95_SD7546_S148,96_SD7547_S149,97_SD7548_S150,98_SD7549_S151,99_SD7550_S152,100_SD7551_S153,101_SD7552_S154,102_SD7553_S155,103_SD7554_S156,104_SD7555_S157,105_SD7556_S158,106_SD7557_S159,107_SD7558_S160,108_SD7559_S161,109_SD7560_S162,110_SD7561_S163,111_SD7562_S164,112_SD7563_S165,113_SD7564_S166,114_SD7565_S167,115_SD7566_S168,116_SD7567_S169,117_SD7568_S170,118_SD7569_S171,119_SD7570_S172,120_SD7571_S173,121_SD7572_S174,122_SD7573_S175
gtdb_r207_NR,1688.0,805.71,633.07,593.75,553.88,914.0,945.0,796.25,1095.3,812.08,1091.11,1264.33,445.8,775.0,942.1,617.62,525.3,705.0,607.24,1124.0,744.93,1968.0,1688.0,890.58,597.56,478.3,1009.36,2300.2,NA,575.18,504.0,801.0,1080.6,1080.6,1052.5,1515.75,1022.91,1183.6,1183.6,1063.09,1104.09,780.08,1331.11,1709.0,744.93,1688.0,878.5,837.07,1229.1,866.62,866.5,1095.3,890.58,945.0,855.58,559.47,780.08,1124.0,790.0,610.94,537.89,926.33,775.0,1095.3,662.0,714.67,640.24,662.0,359.88,615.65,500.17,331.37,453.0,493.83,525.3,869.36,942.1,734.71,970.27,525.3,734.71,724.57,591.59,478.24,335.25,610.94,379.67,421.57,347.35,724.57,432.38,294.5,349.0,327.0,384.43,349.56,462.75,470.88,355.6,339.55,483.65,608.91,345.21,284.79,401.91,245.75,376.07,199.84,362.0,587.5,521.59,452.0,361.65,429.0,267.68,195.12,241.4,265.56,364.46,379.21
gtdb_r207_amoA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_amoB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_amoC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_anfD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_anfG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_anfH,680.0,1135.12,554.21,534.0,330.53,504.57,1152.0,583.4,842.67,633.23,580.0,1102.75,585.75,654.33,804.0,463.5,896.0,1007.62,924.33,1114.14,486.93,534.0,554.21,1278.0,695.5,705.25,858.0,662.0,NA,633.5,562.07,695.5,653.33,558.4,734.36,883.0,684.83,1150.0,910.11,684.83,883.3,479.65,665.0,804.0,633.23,868.11,966.67,407.17,1131.0,515.23,470.57,595.55,562.07,411.67,493.0,621.0,544.43,513.23,510.08,677.5,456.5,886.12,364.65,536.71,417.57,946.43,622.0,427.38,527.6,555.75,403.5,442.75,338.4,441.08,450.25,312.67,390.07,372.15,411.67,636.55,541.0,310.06,433.0,478.1,387.58,643.3,293.56,183.75,379.09,559.23,355.8,250.59,335.43,331.5,347.6,199.38,421.11,433.87,504.0,243.58,335.43,251.0,217.0,285.15,176.25,190.53,186.31,257.91,288.62,193.5,612.5,234.38,263.56,319.08,234.38,130.48,179.24,165.12,179.0,555.5
gtdb_r207_anfK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_asnB,2634.09,3769.14,1871.4,1207.55,1218.0,2920.6,1485.33,2087.08,2920.6,3191.67,2634.09,2395.5,1212.0,2193.77,2849.6,1396.05,2634.09,1625.35,1472.56,3191.67,2395.5,2279.25,2779.5,4273.0,2140.08,2634.09,1431.53,2849.6,NA,1532.24,1232.48,1523.0,3271.0,2193.77,2340.91,2849.6,2569.91,2634.09,1871.4,1809.87,1523.0,2569.91,3967.43,2337.0,3165.11,3709.25,2087.08,2634.09,1922.5,1160.0,1275.0,2073.25,2317.33,1448.17,1250.15,1033.96,1874.21,965.54,1315.8,1396.05,756.0,1314.79,1493.35,1190.71,1350.83,1625.35,2017.15,1518.12,595.29,1315.5,1004.0,580.6,862.68,784.88,1349.16,700.34,779.96,919.26,2422.0,1236.11,1271.5,713.1,911.64,500.8,641.14,1192.16,593.27,385.12,454.58,1322.38,625.04,603.71,477.65,435.37,506.71,477.11,716.14,871.5,606.13,687.96,562.43,471.04,536.59,320.7,304.43,355.32,534.23,397.11,510.05,419.67,1157.56,492.5,664.53,290.6,308.09,215.43,328.12,354.22,451.4,493.57
gtdb_r207_gdhA,249.1,258.5,295.5,189.65,318.36,189.2,276.71,260.0,220.77,199.0,408.0,211.71,243.75,194.38,203.33,248.0,208.07,217.4,168.0,343.67,219.06,231.23,314.08,351.33,253.0,358.1,260.23,258.5,NA,273.83,215.15,225.46,286.11,294.08,288.11,217.4,204.43,348.8,248.0,165.44,226.5,226.27,483.43,414.5,180.33,218.4,423.67,311.91,225.5,405.43,311.11,174.1,182.08,226.27,257.55,171.55,158.4,202.09,213.0,255.33,142.07,175.91,303.75,219.77,226.0,157.88,304.75,271.67,132.75,202.15,140.27,109.59,218.67,200.6,219.12,155.0,197.27,191.0,219.5,181.5,195.27,127.89,179.36,152.3,171.08,100.15,100.75,68.09,96.5,226.0,105.0,193.67,163.0,83.1,98.5,78.91,203.43,390.17,131.75,98.75,121.91,94.14,74.07,155.0,207.5,68.0,111.2,156.6,111.5,125.38,149.25,137.0,108.09,107.67,98.6,54.77,71.11,82.23,87.0,119.6
