SampleId	gtdb_r207_rpoB	read_pair_count
0_SD7449_H041_pH7	13582	29733981
1_SD7450_H042_pH7	44623	88559703
2_SD7451_H043_pH7	16217	34555550
3_SD7452_H044_pH7	5708	11859306
4_SD7453_H045_pH7	4855	9936466
5_SD7454_H046_pH7	19472	40965374
6_SD7455_H048_pH7	9422	20444556
7_SD7456_H049_pH7	8927	20084582
8_SD7458_H051_pH7	15443	35394046
9_SD7460_H053_pH7	15216	31375344
10_SD7461_H054_pH7	12377	24741159
11_SD7462_H055_pH7	27016	51525961
12_SD7463_H056_pH7	4940	9918540
13_SD7464_H057_pH7	36005	76644150
14_SD7465_H058_pH7	48948	99568062
15_SD7466_H059_pH7	0	2
16_SD7467_H061_pH6.5	7952	16782882
17_SD7468_H062_pH6.5	9968	20212238
18_SD7469_H063_pH6.5	31860	69181373
19_SD7470_H065_pH6.5	9064	19250985
20_SD7471_H067_pH6.5	20972	42811259
21_SD7472_H068_pH6.5	11153	26778228
22_SD7473_H069_pH6.5	36126	74563814
23_SD7474_H070_pH6.5	48579	117356357
24_SD7475_H071_pH6.5	23960	50064631
25_SD7476_H072_pH6.5	18375	43033189
26_SD7477_H073_pH6.5	46758	105422390
27_SD7478_H074_pH6.5	11046	22857846
28_SD7479_H075_pH6.5	21623	46992973
29_SD7480_H076_pH6.5	32	61196
30_SD7481_H077_pH6.5	19599	41298897
31_SD7482_H078_pH6.5	14509	27102223
32_SD7483_H079_pH6.5	11894	24025990
33_SD7484_H080_pH6.5	14654	30486342
34_SD7485_H081_pH6	17994	37673240
35_SD7486_H082_pH6	8920	17951067
36_SD7487_H085_pH6	41364	92085633
37_SD7488_H086_pH6	33806	63388495
38_SD7489_H087_pH6	19766	39666256
39_SD7490_H089_pH6	40708	87698444
40_SD7491_H090_pH6	26021	64371003
41_SD7492_H091_pH6	9874	19846382
42_SD7493_H092_pH6	24358	45822627
43_SD7494_H093_pH6	34070	65489040
44_SD7495_H094_pH6	49757	93686286
45_SD7496_H095_pH6	48516	97566227
46_SD7497_H096_pH6	62382	146520826
47_SD7498_H097_pH6	37088	74186950
48_SD7499_H098_pH6	45131	91572050
49_SD7500_H099_pH6	11107	23024539
50_SD7501_H100_pH6	24603	45780001
51_SD7502_H101_pH5.5	13205	23266406
52_SD7503_H102_pH5.5	30774	57045468
53_SD7504_H103_pH5.5	27779	47746479
54_SD7505_H104_pH5.5	35804	61969084
55_SD7506_H105_pH5.5	17636	32563620
56_SD7507_H106_pH5.5	36761	65999021
57_SD7508_H107_pH5.5	26405	46112756
58_SD7509_H109_pH5.5	28750	55430555
59_SD7510_H110_pH5.5	38133	71913722
60_SD7511_H111_pH5.5	9178	16520806
61_SD7512_H113_pH5.5	14523	24753808
62_SD7513_H114_pH5.5	6191	12039388
63_SD7514_H115_pH5.5	23849	42227730
64_SD7515_H116_pH5.5	25011	44937088
65_SD7516_H117_pH5.5	29913	54106774
66_SD7517_H119_pH5.5	33128	59611258
67_SD7518_H120_pH5.5	34802	60410793
68_SD7519_S121	30804	58452978
69_SD7520_S122	20273	38648582
70_SD7521_S123	8747	14994537
71_SD7522_S124	17745	32164046
72_SD7523_S125	68620	122726151
73_SD7524_S126	7581	13493034
74_SD7525_S127	25547	45860990
75_SD7526_S128	24521	44214688
76_SD7527_S129	15353	27030406
77_SD7528_S130	17381	30773329
78_SD7529_S131	26519	44489134
79_SD7530_S132	20963	35034875
80_SD7531_S133	27464	51824521
81_SD7532_S134	28315	53472339
82_SD7533_S135	29169	55759709
83_SD7534_S136	29741	55998759
84_SD7535_S137	34215	61269236
85_SD7536_S138	17856	32941333
86_SD7537_S139	11591	20488883
87_SD7538_S140	33257	60168416
88_SD7539_S141	7310	12050388
89_SD7540_S142	4869	8029360
90_SD7541_S143	8722	15427687
91_SD7542_S144	13032	22999463
92_SD7543_S145	13094	22488210
93_SD7544_S146	8648	13813366
94_SD7545_S147	20375	30773388
95_SD7546_S148	9317	15384523
96_SD7547_S149	4664	7610304
97_SD7548_S150	40241	71960988
98_SD7549_S151	11264	18819383
99_SD7550_S152	6094	10299160
100_SD7551_S153	10073	18812126
101_SD7552_S154	7196	12812863
102_SD7553_S155	4999	9022561
103_SD7554_S156	5078	8243891
104_SD7555_S157	10072	16062801
105_SD7556_S158	9829	14910947
106_SD7557_S159	31194	47006924
107_SD7558_S160	6079	8820948
108_SD7559_S161	14099	21344865
109_SD7560_S162	19547	27557694
110_SD7561_S163	5448	10453537
111_SD7562_S164	8886	14989596
112_SD7563_S165	17358	30687279
113_SD7564_S166	6138	11793351
114_SD7565_S167	7679	12394283
115_SD7566_S168	5919	9702263
116_SD7567_S169	14111	23194224
117_SD7568_S170	13544	21141227
118_SD7569_S171	2015	3036380
119_SD7570_S172	7584	11946996
120_SD7571_S173	18646	30648360
121_SD7572_S174	17643	26982925
122_SD7573_S175	13309	22388470
