SampleId	gtdb_r207_ureA	gtdb_r207_ureB	gtdb_r207_ureC	gtdb_r207_ureD	gtdb_r207_ureE	gtdb_r207_ureF	gtdb_r207_ureG	gtdb_r207_ureJ	read_pair_count
0_SD7449_H041_pH7	637	525	3276	673	364	616	1062	333	29733981
1_SD7450_H042_pH7	1500	1475	8714	1718	940	1754	2857	835	88559703
2_SD7451_H043_pH7	608	626	3796	738	414	699	1118	393	34555550
3_SD7452_H044_pH7	215	219	1404	264	164	270	475	169	11859306
4_SD7453_H045_pH7	187	177	1168	262	117	206	351	131	9936466
5_SD7454_H046_pH7	781	780	4646	962	482	945	1497	486	40965374
6_SD7455_H048_pH7	426	413	2489	552	275	471	778	276	20444556
7_SD7456_H049_pH7	386	342	2252	396	206	394	752	235	20084582
8_SD7458_H051_pH7	612	585	3752	749	368	699	1181	378	35394046
9_SD7460_H053_pH7	654	689	3590	826	382	743	1090	392	31375344
10_SD7461_H054_pH7	474	456	2813	605	321	602	949	302	24741159
11_SD7462_H055_pH7	1090	1031	5654	1243	634	1171	1783	617	51525961
12_SD7463_H056_pH7	243	197	1192	249	140	222	362	123	9918540
13_SD7464_H057_pH7	1419	1440	8364	1907	859	1639	2680	867	76644150
14_SD7465_H058_pH7	1741	1837	10197	2258	1250	2120	3440	997	99568062
16_SD7467_H061_pH6.5	349	364	2010	420	239	404	689	238	16782882
17_SD7468_H062_pH6.5	432	434	2492	526	302	486	810	253	20212238
18_SD7469_H063_pH6.5	1433	1365	7678	1682	860	1516	2613	824	69181373
19_SD7470_H065_pH6.5	376	371	2308	480	234	470	759	232	19250985
20_SD7471_H067_pH6.5	814	745	4501	928	471	845	1538	425	42811259
21_SD7472_H068_pH6.5	432	417	2660	518	272	424	839	239	26778228
22_SD7473_H069_pH6.5	1385	1275	7649	1563	786	1464	2401	816	74563814
23_SD7474_H070_pH6.5	1887	1793	10894	2122	1163	2025	3562	1003	117356357
24_SD7475_H071_pH6.5	1008	963	5889	1160	520	1059	1835	585	50064631
25_SD7476_H072_pH6.5	710	714	4422	758	378	741	1444	449	43033189
26_SD7477_H073_pH6.5	2006	1823	10856	2255	1161	1877	3456	1063	105422390
27_SD7478_H074_pH6.5	477	503	2812	590	348	603	1008	309	22857846
28_SD7479_H075_pH6.5	901	890	5302	1057	567	1014	1690	519	46992973
29_SD7480_H076_pH6.5	0	2	17	3	2	0	4	1	61196
30_SD7481_H077_pH6.5	931	885	5104	1079	572	1056	1676	508	41298897
31_SD7482_H078_pH6.5	603	576	3254	672	422	665	1069	393	27102223
32_SD7483_H079_pH6.5	474	452	2855	584	357	564	929	283	24025990
33_SD7484_H080_pH6.5	675	621	3495	747	283	564	1210	342	30486342
34_SD7485_H081_pH6	705	676	4327	814	478	814	1453	396	37673240
